first,last,count
LeBron,James,17
Kobe,Bryant,15
Tim,Duncan,15
Dirk,Nowitzki,14
Kevin,Garnett,14
Michael,Jordan,13
Dwyane,Wade,12
Hakeem,Olajuwon,12
Karl,Malone,12
Shaquille,O'Neal,12
Isiah,Thomas,11
Carmelo,Anthony,10
Chris,Paul,10
David,Robinson,10
John,Stockton,10
Kevin,Durant,10
Magic,Johnson,10
Paul,Pierce,10
Ray,Allen,10
Allen,Iverson,9
Charles,Barkley,9
Chris,Bosh,9
Clyde,Drexler,9
Gary,Payton,9
James,Harden,9
Jason,Kidd,9
Kareem,Abdul-Jabbar,9
Larry,Bird,9
Patrick,Ewing,9
Robert,Parish,9
Russell,Westbrook,9
Alex,English,8
Dikembe,Mutombo,8
Dominique,Wilkins,8
Dwight,Howard,8
Moses,Malone,8
James,Worthy,7
Julius,Erving,7
Kevin,McHale,7
Kyrie,Irving,7
LaMarcus,Aldridge,7
Paul,George,7
Scottie,Pippen,7
Stephen,Curry,7
Steve,Nash,7
Tracy,McGrady,7
Vince,Carter,7
Amar'e,Stoudemire,6
Anthony,Davis,6
Grant,Hill,6
Joe,Dumars,6
Joe,Johnson,6
Kyle,Lowry,6
Pau,Gasol,6
Shawn,Kemp,6
Tony,Parker,6
Yao,Ming,6
Adrian,Dantley,5
Al,Horford,5
Blake,Griffin,5
Brad,Daugherty,5
Chauncey,Billups,5
Damian,Lillard,5
George,Gervin,5
Giannis,Antetokounmpo,5
Jack,Sikma,5
Jermaine,O'Neal,5
Kawhi,Leonard,5
Klay,Thompson,5
Mitch,Richmond,5
Reggie,Miller,5
Sidney,Moncrief,5
Tim,Hardaway,5
Alonzo,Mourning,4
Alvin,Robertson,4
Anfernee,Hardaway,4
Artis,Gilmore,4
Ben,Wallace,4
Bernard,King,4
Bill,Laimbeer,4
Chris,Mullin,4
Chris,Webber,4
DeMar,DeRozan,4
John,Wall,4
Kemba,Walker,4
Latrell,Sprewell,4
Mark,Price,4
Maurice,Cheeks,4
Paul,Millsap,4
Rasheed,Wallace,4
Rolando,Blackman,4
Shawn,Marion,4
Tom,Chambers,4
Vin,Baker,4
Antoine,Walker,3
Bradley,Beal,3
Buck,Williams,3
Dan,Majerle,3
DeMarcus,Cousins,3
Dennis,Johnson,3
Deron,Williams,3
Derrick,Rose,3
Detlef,Schrempf,3
Draymond,Green,3
Eddie,Jones,3
Gilbert,Arenas,3
Glen,Rice,3
Jimmy,Butler,3
Joel,Embiid,3
Kevin,Johnson,3
Kevin,Love,3
Larry,Nance,3
Marc,Gasol,3
Mark,Aguirre,3
Marques,Johnson,3
Micheal,Ray Richardson,3
Nikola,Jokic,3
Peja,Stojakovic,3
Rajon,Rondo,3
Ralph,Sampson,3
Richard,Hamilton,3
Steve,Francis,3
Walter,Davis,3
Allan,Houston,2
Andre,Drummond,2
Andrew,Toney,2
Antawn,Jamison,2
Baron,Davis,2
Ben,Simmons,2
Bobby,Jones,2
Brad,Miller,2
Brandon,Roy,2
Danny,Manning,2
David,Lee,2
David,West,2
Dennis,Rodman,2
Domantas,Sabonis,2
Donovan,Mitchell,2
Elton,Brand,2
Glenn,Robinson,2
Gus,Williams,2
Isaiah,Thomas,2
Jamaal,Wilkes,2
Jayson,Tatum,2
Jeff,Malone,2
Jerry,Stackhouse,2
Jim,Paxson,2
Joakim,Noah,2
Karl-Anthony,Towns,2
Kelly,Tripucka,2
Kevin,Duckworth,2
Khris,Middleton,2
Kiki,Vandeweghe,2
Lafayette,Lever,2
Larry,Johnson,2
Luka,Doncic,2
Luol,Deng,2
Manu,Ginobili,2
Michael,Finley,2
Nate,Archibald,2
Nikola,Vucevic,2
Norm,Nixon,2
Otis,Birdsong,2
Rashard,Lewis,2
Reggie,Theus,2
Roy,Hibbert,2
Rudy,Gobert,2
Sean,Elliott,2
Stephon,Marbury,2
Terrell,Brandon,2
Terry,Cummings,2
Terry,Porter,2
Zach,Randolph,2
Zydrunas,Ilgauskas,2
A.C.,Green,1
Andre,Iguodala,1
Andrei,Kirilenko,1
Andrew,Bynum,1
Anthony,Mason,1
Antonio,Davis,1
Antonio,McDyess,1
B.J.,Armstrong,1
Bam,Adebayo,1
Bob,Lanier,1
Brandon,Ingram,1
Brook,Lopez,1
Calvin,Natt,1
Carlos,Boozer,1
Caron,Butler,1
Charles,Oakley,1
Chris,Gatling,1
Chris,Kaman,1
Christian,Laettner,1
Clifford,Robinson,1
D'Angelo,Russell,1
Dale,Davis,1
Dale,Ellis,1
Dana,Barros,1
Danny,Ainge,1
Danny,Granger,1
David,Thompson,1
DeAndre,Jordan,1
Derrick,Coleman,1
Devin,Booker,1
Devin,Harris,1
Doc,Rivers,1
Eddie,Johnson,1
Gerald,Wallace,1
Goran,Dragic,1
Gordon,Hayward,1
Hersey,Hawkins,1
Horace,Grant,1
Jamaal,Magloire,1
Jamal,Mashburn,1
James,Donaldson,1
Jaylen,Brown,1
Jayson,Williams,1
Jeff,Hornacek,1
Jeff,Ruland,1
Jeff,Teague,1
Joe,"Barry,Carroll",1
John,Starks,1
Josh,Howard,1
Jrue,Holiday,1
Julius,Randle,1
Juwan,Howard,1
Kenny,Anderson,1
Kenyon,Martin,1
Kevin,Willis,1
Kyle,Korver,1
Lonnie,Shelton,1
Mark,Eaton,1
Mark,Jackson,1
Maurice,Lucas,1
Mehmet,Okur,1
Metta,World Peace,1
Michael,Adams,1
Michael,Redd,1
Mike,Conley,1
Mike,Mitchell,1
Mo,Williams,1
Mookie,Blaylock,1
Nick,Van Exel,1
Otis,Thorpe,1
Pascal,Siakam,1
Paul,Westphal,1
Reggie,Lewis,1
Rickey,Green,1
Ricky,Pierce,1
Rik,Smits,1
Sam,Cassell,1
Shareef,Abdur-Rahim,1
Sleepy,Floyd,1
Steve,Smith,1
Tom,Gugliotta,1
Trae,Young,1
Truck,Robinson,1
Tyrone,Hill,1
Tyson,Chandler,1
Victor,Oladipo,1
Vlade,Divac,1
Wally,Szczerbiak,1
Xavier,McDaniel,1
Zach,LaVine,1
Zion,Williamson,1
